Step, State
0, 0.000000
1, 0.030303
2, 0.037879
3, 0.044258
4, 0.049889
5, 0.054992
6, 0.059694
7, 0.064080
8, 0.068206
9, 0.072115
10, 0.075838
11, 0.079399
12, 0.082819
13, 0.086114
14, 0.089295
15, 0.092374
16, 0.095361
17, 0.098264
18, 0.101088
19, 0.103841
20, 0.106528
21, 0.109152
22, 0.111719
23, 0.114232
24, 0.116693
25, 0.119108
26, 0.121476
27, 0.123803
28, 0.126089
29, 0.128336
30, 0.130547
31, 0.132724
32, 0.134867
33, 0.136978
34, 0.139059
35, 0.141111
36, 0.143136
37, 0.145133
38, 0.147105
39, 0.149052
40, 0.150975
41, 0.152876
42, 0.154754
43, 0.156610
44, 0.158446
45, 0.160263
46, 0.162059
47, 0.163837
48, 0.165597
49, 0.167339
50, 0.169064
51, 0.170773
52, 0.172465
53, 0.174141
54, 0.175803
55, 0.177449
56, 0.179081
57, 0.180699
58, 0.182304
59, 0.183894
60, 0.185472
61, 0.187037
62, 0.188590
63, 0.190131
64, 0.191659
65, 0.193176
66, 0.194682
67, 0.196177
68, 0.197661
69, 0.199134
70, 0.200597
71, 0.202050
72, 0.203492
73, 0.204926
74, 0.206349
75, 0.207763
76, 0.209168
77, 0.210564
78, 0.211951
79, 0.213330
80, 0.214700
81, 0.216061
82, 0.217415
83, 0.218760
84, 0.220097
85, 0.221427
86, 0.222749
87, 0.224064
88, 0.225371
89, 0.226671
90, 0.227964
91, 0.229249
92, 0.230528
93, 0.231800
94, 0.233066
95, 0.234324
96, 0.235577
97, 0.236823
98, 0.238062
99, 0.239296
100, 0.240523
101, 0.241744
102, 0.242960
103, 0.244169
104, 0.245373
105, 0.246571
106, 0.247764
107, 0.248951
108, 0.250132
109, 0.251308
110, 0.252479
111, 0.253645
112, 0.254806
113, 0.255961
114, 0.257112
115, 0.258257
116, 0.259398
117, 0.260533
118, 0.261664
119, 0.262791
120, 0.263912
121, 0.265030
122, 0.266142
123, 0.267250
124, 0.268354
125, 0.269453
126, 0.270548
127, 0.271639
128, 0.272725
129, 0.273807
130, 0.274885
131, 0.275959
132, 0.277029
133, 0.278096
134, 0.279158
135, 0.280216
136, 0.281270
137, 0.282321
138, 0.283367
139, 0.284410
140, 0.285450
141, 0.286485
142, 0.287517
143, 0.288546
144, 0.289571
145, 0.290592
146, 0.291610
147, 0.292625
148, 0.293636
149, 0.294644
150, 0.295648
151, 0.296649
152, 0.297647
153, 0.298642
154, 0.299633
155, 0.300621
156, 0.301606
157, 0.302588
158, 0.303567
159, 0.304543
160, 0.305516
161, 0.306486
162, 0.307453
163, 0.308416
164, 0.309377
165, 0.310336
166, 0.311291
167, 0.312243
168, 0.313193
169, 0.314140
170, 0.315084
171, 0.316025
172, 0.316963
173, 0.317899
174, 0.318832
175, 0.319763
176, 0.320691
177, 0.321616
178, 0.322539
179, 0.323459
180, 0.324377
181, 0.325292
182, 0.326205
183, 0.327115
184, 0.328023
185, 0.328928
186, 0.329831
187, 0.330731
188, 0.331629
189, 0.332525
190, 0.333418
191, 0.334309
192, 0.335198
193, 0.336084
194, 0.336969
195, 0.337851
196, 0.338730
197, 0.339608
198, 0.340483
199, 0.341356
200, 0.342227
201, 0.343096
202, 0.343962
203, 0.344827
204, 0.345689
205, 0.346550
206, 0.347408
207, 0.348264
208, 0.349118
209, 0.349970
210, 0.350820
211, 0.351668
212, 0.352515
213, 0.353359
214, 0.354201
215, 0.355041
216, 0.355879
217, 0.356716
218, 0.357550
219, 0.358383
220, 0.359213
221, 0.360042
222, 0.360869
223, 0.361694
224, 0.362518
225, 0.363339
226, 0.364159
227, 0.364977
228, 0.365793
229, 0.366607
230, 0.367419
231, 0.368230
232, 0.369039
233, 0.369847
234, 0.370652
235, 0.371456
236, 0.372258
237, 0.373059
238, 0.373858
239, 0.374655
240, 0.375450
241, 0.376244
242, 0.377037
243, 0.377827
244, 0.378616
245, 0.379404
246, 0.380190
247, 0.380974
248, 0.381757
249, 0.382538
250, 0.383317
251, 0.384095
252, 0.384872
253, 0.385647
254, 0.386420
255, 0.387192
256, 0.387963
257, 0.388732
258, 0.389499
259, 0.390265
260, 0.391030
261, 0.391793
262, 0.392554
263, 0.393314
264, 0.394073
265, 0.394831
266, 0.395586
267, 0.396341
268, 0.397094
269, 0.397846
270, 0.398596
271, 0.399345
272, 0.400093
273, 0.400839
274, 0.401584
275, 0.402327
276, 0.403069
277, 0.403810
278, 0.404550
279, 0.405288
280, 0.406025
281, 0.406760
282, 0.407495
283, 0.408228
284, 0.408959
285, 0.409690
286, 0.410419
287, 0.411147
288, 0.411873
289, 0.412599
290, 0.413323
291, 0.414046
292, 0.414767
293, 0.415488
294, 0.416207
295, 0.416925
296, 0.417642
297, 0.418357
298, 0.419072
299, 0.419785
300, 0.420497
301, 0.421208
302, 0.421918
303, 0.422626
304, 0.423334
305, 0.424040
306, 0.424745
307, 0.425449
308, 0.426151
309, 0.426853
310, 0.427554
311, 0.428253
312, 0.428951
313, 0.429648
314, 0.430344
315, 0.431039
316, 0.431733
317, 0.432426
318, 0.433118
319, 0.433808
320, 0.434498
321, 0.435186
322, 0.435874
323, 0.436560
324, 0.437245
325, 0.437930
326, 0.438613
327, 0.439295
328, 0.439976
329, 0.440656
330, 0.441335
331, 0.442013
332, 0.442690
333, 0.443366
334, 0.444041
335, 0.444715
336, 0.445388
337, 0.446060
338, 0.446731
339, 0.447401
340, 0.448070
341, 0.448738
342, 0.449406
343, 0.450072
344, 0.450737
345, 0.451401
346, 0.452064
347, 0.452727
348, 0.453388
349, 0.454048
350, 0.454708
351, 0.455366
352, 0.456024
353, 0.456681
354, 0.457336
355, 0.457991
356, 0.458645
357, 0.459298
358, 0.459950
359, 0.460601
360, 0.461252
361, 0.461901
362, 0.462550
363, 0.463197
364, 0.463844
365, 0.464490
366, 0.465135
367, 0.465779
368, 0.466422
369, 0.467064
370, 0.467706
371, 0.468346
372, 0.468986
373, 0.469625
374, 0.470263
375, 0.470900
376, 0.471537
377, 0.472172
378, 0.472807
379, 0.473441
380, 0.474074
381, 0.474706
382, 0.475337
383, 0.475968
384, 0.476598
385, 0.477227
386, 0.477855
387, 0.478482
388, 0.479108
389, 0.479734
390, 0.480359
391, 0.480983
392, 0.481606
393, 0.482229
394, 0.482851
395, 0.483472
396, 0.484092
397, 0.484711
398, 0.485330
399, 0.485948
400, 0.486565
401, 0.487181
402, 0.487796
403, 0.488411
404, 0.489025
405, 0.489638
406, 0.490251
407, 0.490863
408, 0.491474
409, 0.492084
410, 0.492693
411, 0.493302
412, 0.493910
413, 0.494518
414, 0.495124
415, 0.495730
416, 0.496335
417, 0.496940
418, 0.497543
419, 0.498146
420, 0.498748
421, 0.499350
422, 0.499951
423, 0.500551
424, 0.501150
425, 0.501749
426, 0.502347
427, 0.502944
428, 0.503541
429, 0.504137
430, 0.504732
431, 0.505327
432, 0.505921
433, 0.506514
434, 0.507106
435, 0.507698
436, 0.508289
437, 0.508880
438, 0.509469
439, 0.510059
440, 0.510647
441, 0.511235
442, 0.511822
443, 0.512408
444, 0.512994
445, 0.513579
446, 0.514164
447, 0.514748
448, 0.515331
449, 0.515913
450, 0.516495
451, 0.517077
452, 0.517657
453, 0.518237
454, 0.518817
455, 0.519395
456, 0.519973
457, 0.520551
458, 0.521128
459, 0.521704
460, 0.522279
461, 0.522854
462, 0.523429
463, 0.524002
464, 0.524576
465, 0.525148
466, 0.525720
467, 0.526291
468, 0.526862
469, 0.527432
470, 0.528001
471, 0.528570
472, 0.529138
473, 0.529706
474, 0.530273
475, 0.530839
476, 0.531405
477, 0.531971
478, 0.532535
479, 0.533099
480, 0.533663
481, 0.534226
482, 0.534788
483, 0.535350
484, 0.535911
485, 0.536472
486, 0.537032
487, 0.537591
488, 0.538150
489, 0.538708
490, 0.539266
491, 0.539823
492, 0.540380
493, 0.540936
494, 0.541491
495, 0.542046
496, 0.542601
497, 0.543154
498, 0.543708
499, 0.544260
500, 0.544812
501, 0.545364
502, 0.545915
503, 0.546466
504, 0.547016
505, 0.547565
506, 0.548114
507, 0.548662
508, 0.549210
509, 0.549757
510, 0.550304
511, 0.550850
512, 0.551396
513, 0.551941
514, 0.552486
515, 0.553030
516, 0.553573
517, 0.554116
518, 0.554659
519, 0.555201
520, 0.555742
521, 0.556283
522, 0.556824
523, 0.557364
524, 0.557903
525, 0.558442
526, 0.558980
527, 0.559518
528, 0.560055
529, 0.560592
530, 0.561129
531, 0.561664
532, 0.562200
533, 0.562735
534, 0.563269
535, 0.563803
536, 0.564336
537, 0.564869
538, 0.565401
539, 0.565933
540, 0.566465
541, 0.566996
542, 0.567526
543, 0.568056
544, 0.568585
545, 0.569114
546, 0.569643
547, 0.570171
548, 0.570698
549, 0.571225
550, 0.571752
551, 0.572278
552, 0.572803
553, 0.573328
554, 0.573853
555, 0.574377
556, 0.574901
557, 0.575424
558, 0.575947
559, 0.576469
560, 0.576991
561, 0.577512
562, 0.578033
563, 0.578554
564, 0.579074
565, 0.579593
566, 0.580112
567, 0.580631
568, 0.581149
569, 0.581667
570, 0.582184
571, 0.582701
572, 0.583217
573, 0.583733
574, 0.584249
575, 0.584764
576, 0.585278
577, 0.585792
578, 0.586306
579, 0.586819
580, 0.587332
581, 0.587844
582, 0.588356
583, 0.588868
584, 0.589379
585, 0.589889
586, 0.590399
587, 0.590909
588, 0.591418
589, 0.591927
590, 0.592436
591, 0.592944
592, 0.593451
593, 0.593958
594, 0.594465
595, 0.594972
596, 0.595477
597, 0.595983
598, 0.596488
599, 0.596992
600, 0.597497
601, 0.598000
602, 0.598504
603, 0.599007
604, 0.599509
605, 0.600011
606, 0.600513
607, 0.601014
608, 0.601515
609, 0.602016
610, 0.602516
611, 0.603015
612, 0.603515
613, 0.604013
614, 0.604512
615, 0.605010
616, 0.605508
617, 0.606005
618, 0.606502
619, 0.606998
620, 0.607494
621, 0.607990
622, 0.608485
623, 0.608980
624, 0.609474
625, 0.609968
626, 0.610462
627, 0.610955
628, 0.611448
629, 0.611940
630, 0.612432
631, 0.612924
632, 0.613415
633, 0.613906
634, 0.614397
635, 0.614887
636, 0.615377
637, 0.615866
638, 0.616355
639, 0.616844
640, 0.617332
641, 0.617820
642, 0.618307
643, 0.618794
644, 0.619281
645, 0.619767
646, 0.620253
647, 0.620739
648, 0.621224
649, 0.621709
650, 0.622193
651, 0.622678
652, 0.623161
653, 0.623645
654, 0.624128
655, 0.624610
656, 0.625092
657, 0.625574
658, 0.626056
659, 0.626537
660, 0.627018
661, 0.627498
662, 0.627978
663, 0.628458
664, 0.628937
665, 0.629416
666, 0.629895
667, 0.630373
668, 0.630851
669, 0.631329
670, 0.631806
671, 0.632283
672, 0.632759
673, 0.633235
674, 0.633711
675, 0.634187
676, 0.634662
677, 0.635136
678, 0.635611
679, 0.636085
680, 0.636559
681, 0.637032
682, 0.637505
683, 0.637978
684, 0.638450
685, 0.638922
686, 0.639393
687, 0.639865
688, 0.640336
689, 0.640806
690, 0.641277
691, 0.641746
692, 0.642216
693, 0.642685
694, 0.643154
695, 0.643623
696, 0.644091
697, 0.644559
698, 0.645026
699, 0.645494
700, 0.645960
701, 0.646427
702, 0.646893
703, 0.647359
704, 0.647825
705, 0.648290
706, 0.648755
707, 0.649219
708, 0.649684
709, 0.650148
710, 0.650611
711, 0.651075
712, 0.651537
713, 0.652000
714, 0.652462
715, 0.652924
716, 0.653386
717, 0.653847
718, 0.654308
719, 0.654769
720, 0.655229
721, 0.655690
722, 0.656149
723, 0.656609
724, 0.657068
725, 0.657527
726, 0.657985
727, 0.658443
728, 0.658901
729, 0.659359
730, 0.659816
731, 0.660273
732, 0.660729
733, 0.661186
734, 0.661642
735, 0.662097
736, 0.662553
737, 0.663008
738, 0.663462
739, 0.663917
740, 0.664371
741, 0.664825
742, 0.665278
743, 0.665732
744, 0.666184
745, 0.666637
746, 0.667089
747, 0.667541
748, 0.667993
749, 0.668444
750, 0.668896
751, 0.669346
752, 0.669797
753, 0.670247
754, 0.670697
755, 0.671147
756, 0.671596
757, 0.672045
