Step, State
0, 0.000000
1, 0.000000
2, 0.000000
3, 0.000000
4, 0.000000
5, 0.000000
6, 0.000000
7, 0.000000
8, 0.000000
9, 0.000001
10, 0.000001
11, 0.000002
12, 0.000003
13, 0.000005
14, 0.000008
15, 0.000012
16, 0.000020
17, 0.000031
18, 0.000050
19, 0.000081
20, 0.000129
21, 0.000207
22, 0.000329
23, 0.000521
24, 0.000821
25, 0.001277
26, 0.001956
27, 0.002932
28, 0.004274
29, 0.006026
30, 0.008193
31, 0.010741
32, 0.013608
33, 0.016721
34, 0.020011
35, 0.023420
36, 0.026899
37, 0.030413
38, 0.033935
39, 0.037444
40, 0.040926
41, 0.044371
42, 0.047771
43, 0.051123
44, 0.054422
45, 0.057667
46, 0.060858
47, 0.063993
48, 0.067074
49, 0.070101
50, 0.073075
51, 0.075997
52, 0.078869
53, 0.081691
54, 0.084465
55, 0.087193
56, 0.089876
57, 0.092516
58, 0.095113
59, 0.097670
60, 0.100187
61, 0.102666
62, 0.105107
63, 0.107513
64, 0.109885
65, 0.112222
66, 0.114528
67, 0.116802
68, 0.119045
69, 0.121259
70, 0.123444
71, 0.125602
72, 0.127732
73, 0.129837
74, 0.131916
75, 0.133970
76, 0.136001
77, 0.138009
78, 0.139993
79, 0.141956
80, 0.143898
81, 0.145819
82, 0.147720
83, 0.149601
84, 0.151463
85, 0.153306
86, 0.155131
87, 0.156938
88, 0.158728
89, 0.160502
90, 0.162258
91, 0.163999
92, 0.165724
93, 0.167434
94, 0.169129
95, 0.170809
96, 0.172475
97, 0.174127
98, 0.175766
99, 0.177391
100, 0.179003
101, 0.180603
102, 0.182190
103, 0.183764
104, 0.185327
105, 0.186878
106, 0.188417
107, 0.189946
108, 0.191463
109, 0.192969
110, 0.194465
111, 0.195951
112, 0.197426
113, 0.198891
114, 0.200347
115, 0.201792
116, 0.203229
117, 0.204656
118, 0.206074
119, 0.207483
120, 0.208883
121, 0.210274
122, 0.211657
123, 0.213032
124, 0.214398
125, 0.215757
126, 0.217107
127, 0.218450
128, 0.219785
129, 0.221112
130, 0.222432
131, 0.223745
132, 0.225050
133, 0.226349
134, 0.227640
135, 0.228925
136, 0.230203
137, 0.231474
138, 0.232738
139, 0.233996
140, 0.235248
141, 0.236493
142, 0.237733
143, 0.238966
144, 0.240193
145, 0.241414
146, 0.242629
147, 0.243839
148, 0.245043
149, 0.246241
150, 0.247434
151, 0.248621
152, 0.249803
153, 0.250979
154, 0.252151
155, 0.253317
156, 0.254478
157, 0.255634
158, 0.256785
159, 0.257931
160, 0.259072
161, 0.260208
162, 0.261340
163, 0.262467
164, 0.263589
165, 0.264707
166, 0.265820
167, 0.266929
168, 0.268033
169, 0.269133
170, 0.270229
171, 0.271321
172, 0.272408
173, 0.273491
174, 0.274570
175, 0.275645
176, 0.276716
177, 0.277782
178, 0.278845
179, 0.279904
180, 0.280960
181, 0.282011
182, 0.283059
183, 0.284102
184, 0.285143
185, 0.286179
186, 0.287212
187, 0.288241
